"Story","Title","Result","Date","Stability","Duration (s)"
"quiero crear una tarjeta","crear una tarjeta","SUCCESS","2025-12-01T19:02:35.8270976-05:00[America/Bogota]","0.0","19.05"
"quiero crear un encuentro","crear un encuentro","SUCCESS","2025-12-02T19:25:19.6802228-05:00[America/Bogota]","0.0","20.58"
"quiero crear un equipo","crear un equipo","FAILURE","2025-12-15T20:50:52.1186315-05:00[America/Bogota]","0.0","35.44"
"quiero registrar los goles de cada jugador","registrar goles","FAILURE","2025-12-15T20:51:33.326888-05:00[America/Bogota]","0.0","12.76"
"quiero crear una inscripcion","crear una inscripcion","SUCCESS","2025-12-01T14:02:49.1180812-05:00[America/Bogota]","0.0","16.33"
"quiero crear un juez","crear un juez","FAILURE","2025-12-15T20:51:49.0099953-05:00[America/Bogota]","0.0","13.94"
"quiero crear un jugador","crear un jugador","FAILURE","2025-12-15T20:52:05.6015905-05:00[America/Bogota]","0.0","15.18"
"quiero crear un recibo de pago","crer un recibo de pago","SUCCESS","2025-12-01T14:03:07.8793578-05:00[America/Bogota]","0.0","15.2"
"quiero crear una sede","crear una sede","FAILURE","2025-12-15T20:52:24.9845074-05:00[America/Bogota]","0.0","11.91"
"Quiero crear un torneo","Crear torneo exitosamente","SUCCESS","2025-12-01T14:22:25.4023151-05:00[America/Bogota]","0.0","21.87"
